Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DRI,"Darden Restaurants, Inc.",74.61,$9.26B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dri,
DAR,Darling Ingredients Inc.,14.04,$2.31B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/dar,
DVA,DaVita Inc.,68.7,$13.37B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dva,
DCP,DCP Midstream LP,37.1,$5.32B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dcp,
DCT,DCT Industrial Trust Inc,45.85,$4.21B,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dct,
DDR,DDR Corp.,12.8,$4.69B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ddr,
DDR^J,DDR Corp.,25.29,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^j,
DDR^K,DDR Corp.,25.23,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^k,
DF,Dean Foods Company,18.3,$1.66B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/df,
DECK,Deckers Outdoor Corporation,53.84,$1.72B,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/deck,
DE,Deere & Company,109.21,$34.76B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/de,
DEX,Delaware Enhanced Global Dividend,10.48,$166.11M,2007,n/a,n/a,http://www.nasdaq.com/symbol/dex,
DDF,"Delaware Investments Dividend & Income Fund, Inc.",10.21,$82.63M,1993,n/a,n/a,http://www.nasdaq.com/symbol/ddf,
DKL,"Delek Logistics Partners, L.P.",29.1,$707.96M,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/dkl,
DK,"Delek US Holdings, Inc.",24.57,$1.52B,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/dk,
DVMT,Dell Technologies Inc.,63.49,$13.72B,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/dvmt,
DLPH,Delphi Automotive plc,81,$21.83B,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dlph,
DAL,"Delta Air Lines, Inc.",46.28,$33.82B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/dal,
DEL,Deltic Timber Corporation,76.14,$927.94M,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/del,
DLX,Deluxe Corporation,74.08,$3.59B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/dlx,
DNR,Denbury Resources Inc.,2.33,$927.68M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dnr,
DKT,Deutsch Bk Contingent Cap Tr V,26.57,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dkt,
DB,Deutsche Bank AG,19.26,$26.56B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/db,
DTK,Deutsche Bank AG,25.81,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dtk,
DXB,Deutsche Bank AG,24.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dxb,
DVN,Devon Energy Corporation,40.02,$20.99B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dvn,
DV,DeVry Education Group Inc.,33,$2.08B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/dv,
DHX,"DHI Group, Inc.",4.65,$230.75M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/dhx,
DHT,"DHT Holdings, Inc.",4.99,$465.9M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dht,
DEO,Diageo plc,113.07,$71.14B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/deo,
DO,"Diamond Offshore Drilling, Inc.",14.7,$2.02B,1995,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/do,
DRH,Diamondrock Hospitality Company,10.79,$2.16B,2005,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/drh,
DSX,Diana Shipping inc.,4.18,$354.03M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dsx,
DSX^B,Diana Shipping inc.,18.9624,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dsx^b,
DSXN,Diana Shipping inc.,23.5,n/a,2015,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dsxn,
DKS,Dick&#39;s Sporting Goods Inc,47.83,$5.39B,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/dks,
DBD,Diebold Nixdorf Incorporated,28.8,$2.17B,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/dbd,
DLR,"Digital Realty Trust, Inc.",102.4,$16.31B,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dlr,
DLR^F.CL,"Digital Realty Trust, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^f.cl,
DLR^G,"Digital Realty Trust, Inc.",25.0003,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^g,
DLR^H,"Digital Realty Trust, Inc.",26.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^h,
DLR^I,"Digital Realty Trust, Inc.",25.6903,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^i,
DGI,"DigitalGlobe, Inc",31.55,$1.95B,2009,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/dgi,
DDS,"Dillard&#39;s, Inc.",52.03,$1.68B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dds,
DDT,"Dillard&#39;s, Inc.",25.27,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/ddt,
DIN,"DineEquity, Inc",55.5,$990.4M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/din,
DPLO,"Diplomat Pharmacy, Inc.",14.99,$1B,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/dplo,
DFS,Discover Financial Services,71.8,$27.68B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dfs,
DFS^B,Discover Financial Services,25.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfs^b,
DRA,Diversified Real Asset Income Fund,16.61,$296.25M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dra,
DNI,Dividend and Income Fund,11.97,$126.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dni,
DLB,Dolby Laboratories,50.61,$5.16B,2005,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/dlb,
DG,Dollar General Corporation,72.82,$20.12B,2009,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dg,
DDC,Dominion Diamond Corporation,8.49,$700.88M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ddc,
DM,"Dominion Midstream Partners, LP",31,$3.08B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dm,
D,"Dominion Resources, Inc.",76.33,$47.97B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/d,
DCUC,"Dominion Resources, Inc.",50.82,$31.93B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dcuc,
DCUD,"Dominion Resources, Inc.",50.04,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dcud,
DRUA,"Dominion Resources, Inc.",23.14,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/drua,
DPZ,Domino&#39;s Pizza Inc,183.67,$8.83B,2004,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dpz,
UFS,Domtar Corporation,37.5,$2.44B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ufs,
DCI,"Donaldson Company, Inc.",44.52,$5.88B,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/dci,
DFIN,"Donnelley Financial Solutions, Inc.",19.9,$648.87M,2016,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/dfin,
LPG,Dorian LPG Ltd.,11.01,$605.19M,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/lpg,
DSL,DoubleLine Income Solutions Fund,19.51,$1.98B,2013,n/a,n/a,http://www.nasdaq.com/symbol/dsl,
DBL,DoubleLine Opportunistic Credit Fund,22.92,$340.4M,2012,n/a,n/a,http://www.nasdaq.com/symbol/dbl,
PLOW,"Douglas Dynamics, Inc.",29.75,$669.42M,2010,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/plow,
DEI,"Douglas Emmett, Inc.",37.82,$5.79B,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dei,
DOV,Dover Corporation,77.06,$11.98B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov,
DDE,Dover Downs Gaming & Entertainment Inc,1.04,$34.48M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dde,
DVD,"Dover Motorsports, Inc.",2.2,$81.16M,1996,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dvd,
DOW,Dow Chemical Company (The),63.68,$77.26B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dow,
DPS,"Dr Pepper Snapple Group, Inc",94.65,$17.33B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/dps,
RDY,Dr. Reddy&#39;s Laboratories Ltd,41.27,$6.84B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rdy,
DRD,DRDGOLD Limited,4.9,$211.4M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/drd,
DHF,Dreyfus High Yield Strategies Fund,3.31,$240.66M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhf,
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",12.226,$224.74M,2013,n/a,n/a,http://www.nasdaq.com/symbol/dmb,
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",8.15,$400.6M,1989,n/a,n/a,http://www.nasdaq.com/symbol/dsm,
LEO,"Dreyfus Strategic Municipals, Inc.",8.41,$521.16M,1987,n/a,n/a,http://www.nasdaq.com/symbol/leo,
DRQ,"Dril-Quip, Inc.",53.15,$2.01B,1997,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/drq,
DS,Drive Shack Inc.,4.07,$272.05M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ds,
DS^B,Drive Shack Inc.,25.28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^b,
DS^C,Drive Shack Inc.,24.2701,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^c,
DS^D,Drive Shack Inc.,24.64,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^d,
DST,"DST Systems, Inc.",118.2,$3.73B,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/dst,
DSW,DSW Inc.,20.01,$1.6B,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dsw,
DTE,DTE Energy Company,100.49,$18.03B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dte,
DTJ,DTE Energy Company,23.61,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtj,
DTQ,DTE Energy Company,24.52,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtq,
DTV,DTE Energy Company,53.52,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtv,
DTY,DTE Energy Company,25.11,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dty,
DCO,Ducommun Incorporated,27.68,$309.88M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/dco,
DPG,Duff & Phelps Global Utility Income Fund Inc.,15.72,$596.26M,2011,n/a,n/a,http://www.nasdaq.com/symbol/dpg,
DSE,Duff & Phelps Select Energy MLP Fund Inc.,7.47,$194.79M,2014,n/a,n/a,http://www.nasdaq.com/symbol/dse,
DNP,"Duff & Phelps Utilities Income, Inc.",10.56,$3B,1987,n/a,n/a,http://www.nasdaq.com/symbol/dnp,
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",15.43,$131.45M,1991,n/a,n/a,http://www.nasdaq.com/symbol/dtf,
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.1,$250.2M,1993,n/a,n/a,http://www.nasdaq.com/symbol/duc,
DUK,Duke Energy Corporation,80.87,$56.58B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/duk,
DUKH,Duke Energy Corporation,25.35,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/dukh,
DRE,Duke Realty Corporation,24.93,$8.86B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dre,
DNB,Dun & Bradstreet Corporation (The),107.11,$3.94B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dnb,
DFT,"Dupont Fabros Technology, Inc.",47.42,$3.67B,2007,Finance,Real Estate,http://www.nasdaq.com/symbol/dft,
DFT^C,"Dupont Fabros Technology, Inc.",25.965,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dft^c,
DHG,"DWS High Income Opportunities Fund, Inc.",14.39,$218.46M,2006,n/a,n/a,http://www.nasdaq.com/symbol/dhg,
DY,"Dycom Industries, Inc.",93.41,$2.94B,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/dy,
DLNG,Dynagas LNG Partners LP,16.93,$600.85M,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/dlng,
DLNG^A,Dynagas LNG Partners LP,25.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlng^a,
DYN,Dynegy Inc.,7.26,$951.18M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dyn,
DYN.WS,Dynegy Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn.ws,
DYN.WS.A,Dynegy Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn.ws.a,
DYN^A,Dynegy Inc.,27,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn^a,
DYNC,Dynegy Inc.,57.19,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dync,
DX,"Dynex Capital, Inc.",6.74,$331.29M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dx,
DX^A,"Dynex Capital, Inc.",25.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dx^a,
DX^B,"Dynex Capital, Inc.",23.4475,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dx^b,
DD,E.I. du Pont de Nemours and Company,80.42,$69.53B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd,
DD^A,E.I. du Pont de Nemours and Company,88.2,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^a,
DD^B,E.I. du Pont de Nemours and Company,102.3,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^b,
ELF,"e.l.f. Beauty, Inc.",25.98,$1.18B,2016,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/elf,
SSP,E.W. Scripps Company (The),22.82,$1.87B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ssp,
EGIF,Eagle Growth and Income Opportunities Fund,16.7519,$120.29M,2015,n/a,n/a,http://www.nasdaq.com/symbol/egif,
EXP,Eagle Materials Inc,96.58,$4.68B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/exp,
ECC           ,Eagle Point Credit Company Inc.,18.74,$308.74M,2014,n/a,n/a,http://www.nasdaq.com/symbol/ecc,
ECCA,Eagle Point Credit Company Inc.,26.0124,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/ecca,
ECCB,Eagle Point Credit Company Inc.,25.87,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/eccb,
ECCZ,Eagle Point Credit Company Inc.,25.8101,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/eccz,
DEA,"Easterly Government Properties, Inc.",19.28,$710.95M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dea,
EGP,"EastGroup Properties, Inc.",70.6,$2.35B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/egp,
EMN,Eastman Chemical Company,77.3,$11.32B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/emn,
KODK,Eastman Kodak Company,11.8,$500.68M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kodk,
KODK.WS,Eastman Kodak Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kodk.ws,
KODK.WS.A,Eastman Kodak Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kodk.ws.a,
ETN,"Eaton Corporation, PLC",71.82,$32.3B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn,
ETV,Eaton Vance Corporation,15.24,$974.83M,2005,n/a,n/a,http://www.nasdaq.com/symbol/etv,
ETW,Eaton Vance Corporation,10.72,$1.14B,2005,n/a,n/a,http://www.nasdaq.com/symbol/etw,
EV,Eaton Vance Corporation,46,$5.3B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ev,
EOI,Eaton Vance Enhance Equity Income Fund,12.96,$507.68M,2004,n/a,n/a,http://www.nasdaq.com/symbol/eoi,
EOS,Eaton Vance Enhanced Equity Income Fund II,13.48,$642.39M,2005,n/a,n/a,http://www.nasdaq.com/symbol/eos,
EFT,Eaton Vance Floating Rate Income Trust,15.01,$598.35M,2004,n/a,n/a,http://www.nasdaq.com/symbol/eft,
EFF,Eaton vance Floating-Rate Income Plus Fund,16.67,$126.8M,2013,n/a,n/a,http://www.nasdaq.com/symbol/eff,
EHT,Eaton Vance High Income 2021 Target Term Trust,9.94,$188.86M,2016,n/a,n/a,http://www.nasdaq.com/symbol/eht,
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,18.8,$203.65M,2013,n/a,n/a,http://www.nasdaq.com/symbol/etx,
EOT,Eaton Vance Municipal Income Trust,20.89,$317.79M,2009,n/a,n/a,http://www.nasdaq.com/symbol/eot,
EVN,Eaton Vance Municipal Income Trust,12.39,$294.66M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evn,
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,9.19,$585.1M,2007,n/a,n/a,http://www.nasdaq.com/symbol/etj,
EFR,Eaton Vance Senior Floating-Rate Fund,15.2,$559.99M,2003,n/a,n/a,http://www.nasdaq.com/symbol/efr,
EVF,Eaton Vance Senior Income Trust,6.84,$259.01M,1998,n/a,n/a,http://www.nasdaq.com/symbol/evf,
EVG,Eaton Vance Short Diversified Income Fund,13.97,$249.79M,2005,n/a,n/a,http://www.nasdaq.com/symbol/evg,
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,21.27,$1.55B,2003,n/a,n/a,http://www.nasdaq.com/symbol/evt,
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,22.77,$330.72M,2004,n/a,n/a,http://www.nasdaq.com/symbol/eto,
EXD,Eaton Vance Tax-Advantaged Bond,11.3,$109.97M,2010,n/a,n/a,http://www.nasdaq.com/symbol/exd,
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,15.43,$1.18B,2004,n/a,n/a,http://www.nasdaq.com/symbol/etg,
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,16.38,$404.76M,2005,n/a,n/a,http://www.nasdaq.com/symbol/etb,
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11,$1.64B,2006,n/a,n/a,http://www.nasdaq.com/symbol/ety,
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,8.39,$2.53B,2007,n/a,n/a,http://www.nasdaq.com/symbol/exg,
ECT,ECA Marcellus Trust I,2.2,$38.73M,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ect,
ECR,Eclipse Resources Corporation,2.16,$566.44M,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ecr,
ECL,Ecolab Inc.,123.68,$36.08B,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ecl,
EC,Ecopetrol S.A.,8.6,$17.68B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ec,
EIX,Edison International,78.42,$25.55B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eix,
EDR,Education Realty Trust Inc.,38.97,$2.85B,2005,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/edr,
EW,Edwards Lifesciences Corporation,93.86,$19.94B,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ew,
EHIC,eHi Car Services Limited,10.51,$729.37M,2014,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/ehic,
EP^C,El Paso Corporation,49.75,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ep^c,
EE,El Paso Electric Company,48.05,$1.95B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ee,
EGO,Eldorado Gold Corporation,2.85,$2.04B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ego,
LLY,Eli Lilly and Company,84.46,$93.19B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lly,
ELLI,"Ellie Mae, Inc.",97.63,$3.3B,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/elli,
EFC,Ellington Financial LLC,15.59,$503.47M,2010,Finance,Real Estate,http://www.nasdaq.com/symbol/efc,
EARN,Ellington Residential Mortgage REIT,14.02,$128.02M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/earn,
AKO.A,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ako.a,
AKO.B,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ako.b,
ERJ,Embraer-Empresa Brasileira de Aeronautica,23.45,$4.31B,2000,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/erj,
EME,"EMCOR Group, Inc.",62.19,$3.71B,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/eme,
EMES,Emerge Energy Services LP,13.32,$400.56M,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/emes,
EBS,"Emergent Biosolutions, Inc.",30.33,$1.23B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebs,
EMR,Emerson Electric Company,58.97,$38.04B,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/emr,
ESRT,"Empire State Realty Trust, Inc.",20.19,$6.26B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/esrt,
EIG,Employers Holdings Inc,37.85,$1.22B,2007,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/eig,
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),32.28,$1.46B,2007,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/edn,
ENBL,"Enable Midstream Partners, LP",16.22,$7.01B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/enbl,
EEQ,Enbridge Energy Management LLC,17.12,$1.44B,2002,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eeq,
EEP,"Enbridge Energy, L.P.",17.39,$7.58B,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/eep,
ENB,Enbridge Inc,40.31,$65.88B,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/enb,
ECA,Encana Corporation,10.32,$10.04B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eca,
EXK,Endeavour Silver Corporation,3.03,$385.05M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/exk,
ENH,Endurance Specialty Holdings Ltd,92.8,$6.27B,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/enh,
ENH^C,Endurance Specialty Holdings Ltd,25.74,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enh^c,
NDRO,Enduro Royalty Trust,3.3,$108.9M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ndro,
ENIA,Enel Americas S.A.,9.66,$11.25B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/enia,
ENIC,Enel Chile S.A.,5.05,$4.96B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/enic,
EOCC,Enel Generacion Chile S.A.,21.35,$5.84B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eocc,
EGN,Energen Corporation,50,$4.86B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egn,
ENR,"Energizer Holdings, Inc.",55.31,$3.42B,2015,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/enr,
EPC,"Energizer Holdings, Inc.",73.69,$4.23B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/epc,
ETE,"Energy Transfer Equity, L.P.",18.38,$19.84B,2006,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ete,
ETP,ENERGY TRANSFER PARTNERS,35.81,$26.29B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/etp,
ERF,Enerplus Corporation,8.04,$1.93B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/erf,
ENS,Enersys,75.91,$3.3B,2004,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/ens,
EGL,"Engility Holdings, Inc.",29.83,$1.1B,2015,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/egl,
E,ENI S.p.A.,30.79,$55.95B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/e,
ENLK,"EnLink Midstream Partners, LP",17.9,$6.14B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/enlk,
ENLC,"EnLink Midstream, LLC",18.9,$3.4B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/enlc,
EBF,"Ennis, Inc.",16.05,$410.48M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/ebf,
ENVA,"Enova International, Inc.",14,$466.1M,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/enva,
NPO,EnPro Industries,64.22,$1.36B,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/npo,
ESV,ENSCO plc,8.48,$2.57B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/esv,
ETM,Entercom Communications Corporation,13.95,$540.02M,1999,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/etm,
EAB,"Entergy Arkansas, Inc.",23.89,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eab,
